0.00	 1.00	 5.73	 5.73	NaN	 NaN	0.00	 1.00	 45.04	 35.17	 8660.25	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8660.25	-5.83	 1.00	 44.96	 35.20	 8662.71	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-11.66	 1.00	 44.93	 35.20	 8665.16	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.52
0.00	 1.00	 5.73	 5.73	-10.00	 8667.18	-17.49	 1.00	 44.97	 35.24	 8667.62	-3.32	 1.00	 45.01	 35.25	 8670.07	0.00	 39.28	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-9.15	 1.00	 45.03	 35.21	 8672.53	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8674.11	-14.98	 1.00	 45.07	 35.17	 8674.98	-0.81	 1.00	 45.03	 35.25	 8677.43	0.00	 39.28	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-6.64	 1.00	 45.01	 35.20	 8679.89	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8681.04	-12.47	 1.00	 44.95	 35.32	 8682.34	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-18.30	 1.00	 45.08	 35.23	 8684.80	-4.13	 1.00	 45.03	 35.34	 8687.25	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8687.97	-9.96	 1.00	 45.07	 35.18	 8689.71	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-15.79	 1.00	 44.92	 35.20	 8692.16	-1.62	 1.00	 45.07	 35.19	 8694.61	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8694.90	-7.45	 1.00	 44.99	 35.35	 8697.07	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.55
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-13.28	 1.00	 45.01	 35.30	 8699.52	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8701.82	-19.11	 1.00	 44.97	 35.30	 8701.98	-4.94	 1.00	 45.06	 35.17	 8704.43	0.00	 39.27	 29.55
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-10.77	 1.00	 45.05	 35.36	 8706.89	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8708.75	-16.60	 1.00	 45.04	 35.22	 8709.34	-2.43	 1.00	 45.05	 35.19	 8711.80	0.00	 39.27	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-8.26	 1.00	 44.99	 35.34	 8714.25	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8715.68	-14.08	 1.00	 44.96	 35.22	 8716.70	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-19.91	 1.00	 44.93	 35.17	 8719.16	-5.74	 1.00	 45.03	 35.21	 8721.61	0.00	 39.26	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8722.61	-11.57	 1.00	 44.96	 35.26	 8724.07	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-17.40	 1.00	 44.92	 35.28	 8726.52	-3.23	 1.00	 44.94	 35.28	 8728.98	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8729.54	-9.06	 1.00	 45.04	 35.19	 8731.43	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-14.89	 1.00	 44.98	 35.30	 8733.88	-0.72	 1.00	 44.98	 35.18	 8736.34	0.00	 39.28	 29.55
0.00	 1.00	 5.73	 5.73	-10.00	 8736.46	-6.55	 1.00	 45.01	 35.30	 8738.79	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-12.38	 1.00	 45.00	 35.35	 8741.25	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8743.39	-18.21	 1.00	 45.02	 35.34	 8743.70	-4.04	 1.00	 44.93	 35.20	 8746.16	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-9.87	 1.00	 45.06	 35.24	 8748.61	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	-10.00	 8750.32	-15.70	 1.00	 44.94	 35.35	 8751.07	-1.53	 1.00	 44.97	 35.31	 8753.52	0.00	 39.26	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-7.36	 1.00	 45.04	 35.34	 8755.97	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.52
0.00	 1.00	 5.73	 5.73	-10.00	 8757.25	-13.19	 1.00	 45.02	 35.31	 8758.43	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-19.02	 1.00	 44.97	 35.22	 8760.88	-4.85	 1.00	 45.07	 35.25	 8763.34	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8764.18	-10.68	 1.00	 45.08	 35.30	 8765.79	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.28	 29.53
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-16.51	 1.00	 45.02	 35.19	 8768.25	-2.34	 1.00	 45.08	 35.25	 8770.70	0.00	 39.28	 29.52
0.00	 1.00	 5.73	 5.73	-10.00	 8771.11	-8.17	 1.00	 45.01	 35.25	 8773.15	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.55
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-14.00	 1.00	 44.95	 35.34	 8775.61	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8778.03	-19.83	 1.00	 45.01	 35.17	 8778.06	-5.66	 1.00	 45.02	 35.23	 8780.52	0.00	 39.26	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-11.49	 1.00	 45.00	 35.34	 8782.97	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.26	 29.53
0.00	 1.00	 5.73	 5.73	-10.00	 8784.96	-17.32	 1.00	 44.97	 35.34	 8785.43	-3.15	 1.00	 45.02	 35.17	 8787.88	0.00	 39.27	 29.54
0.00	 1.00	 5.73	 5.73	NaN	 NaN	-8.98	 1.00	 45.08	 35.30	 8790.33	NaN	 NaN	 NaN	 NaN	 NaN	0.00	 39.27	 29.54
